salary_id,ids_num,year,author,level,title
,,2010,曾雪强,,Gene Selection by Using an Improved Fast Correlation-Based Filter
,"EI,EI",2010,曾雪强,,Fast model selection for Partial Least Squares based Dimension Reduction
,,2010,曾雪强,,基于偏最小二乘降维的分类模型比较
,,2010,魏少峰,,数据库安全维护技术浅析
,,2010,魏少峰,,入侵检测技术对数据库系统中的作用
,,2010,李致勋,,遗传算法用于规律行为获取的研究
,,2010,李致勋,,关联规则在网络异常检测中的应用
,,2010,肖美华,,基于SPIN的安全协议SSL3.0模型检测
,,2010,肖美华,,增强网络安全的分类算法评估
,,2010,肖美华,省级及省级以上刊物,基于JPF的Java程序验证
,,2010,肖美华,CSCD核心库,安全协议验证模型的高效自动生成
,SCI,2010,肖美华,,On Formal Analysis of Cryptographic Protocols and Supporting Tool
,,2010,黄水源,,hou to develop and use loadvars a foundational class of Flash in Ria
,EI,2010,郑超美,,基于UDP的流媒体拥塞控制机制
